CSA,CBSA,Name,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More,Num of Structures With 5 Units or More,
999,13740,"Billings, MT                                                ",1202,881,72,0,249,12,
999,13780,"Binghamton, NY                                              ",445,145,0,0,300,35,
142,13820,"Birmingham-Hoover, AL                                       ",4147,3045,64,46,992,29,
999,13900,"Bismarck, ND                                                ",610,378,90,70,72,2,
999,13980,"Blacksburg-Christiansburg, VA                               ",500,377,16,0,107,4,
145,14010,"Bloomington, IL                                             ",437,305,6,8,118,3,
144,14020,"Bloomington, IN                                             ",563,351,6,0,206,10,
146,14100,"Bloomsburg-Berwick, PA                                      ",135,135,0,0,0,0,
147,14260,"Boise City, ID                                              ",10475,5925,78,398,4074,198,
148,14460,"Boston-Cambridge-Newton, MA-NH                              ",13595,4025,466,381,8723,295,
216,14500,"Boulder, CO                                                 ",1642,661,26,76,879,52,
150,14540,"Bowling Green, KY                                           ",1636,835,8,35,758,86,
500,14740,"Bremerton-Silverdale-Port Orchard, WA                       ",1701,1041,8,50,602,20,
408,14860,"Bridgeport-Stamford-Norwalk, CT                             ",1831,640,40,6,1145,24,
154,15180,"Brownsville-Harlingen, TX                                   ",2506,1937,88,39,442,22,
999,15260,"Brunswick, GA                                               ",1568,880,88,63,537,19,
160,15380,"Buffalo-Cheektowaga, NY                                     ",1591,1213,32,49,297,25,
268,15500,"Burlington, NC                                              ",1949,1793,2,8,146,11,
162,15540,"Burlington-South Burlington, VT                             ",1124,422,74,25,603,29,
548,15680,"California-Lexington Park, MD                               ",238,238,0,0,0,0,
184,15940,"Canton-Massillon, OH                                        ",810,469,32,96,213,32,
163,15980,"Cape Coral-Fort Myers, FL                                   ",13621,9145,256,113,4107,166,
164,16020,"Cape Girardeau, MO-IL                                       ",94,92,2,0,0,0,
999,16060,"Carbondale-Marion, IL                                       ",150,67,4,69,10,2,
456,16180,"Carson City, NV                                             ",272,167,0,12,93,15,
999,16220,"Casper, WY                                                  ",208,134,10,4,60,2,
168,16300,"Cedar Rapids, IA                                            ",947,453,70,19,405,15,
548,16540,"Chambersburg-Waynesboro, PA                                 ",410,312,30,12,56,10,
999,16580,"Champaign-Urbana, IL                                        ",920,313,0,32,575,10,
170,16620,"Charleston, WV                                              ",160,154,2,4,0,0,
999,16700,"Charleston-North Charleston, SC                             ",9491,6329,2,32,3128,129,
172,16740,"Charlotte-Concord-Gastonia, NC-SC                           ",27212,19029,142,47,7994,202,
999,16820,"Charlottesville, VA                                         ",1500,1017,4,20,459,34,
174,16860,"Chattanooga, TN-GA                                          ",3081,2121,168,78,714,40,
999,16940,"Cheyenne, WY                                                ",1163,375,0,144,644,13,
176,16980,"Chicago-Naperville-Elgin, IL-IN-WI                          ",17635,8562,296,649,8128,250,
999,17020,"Chico, CA                                                   ",1853,989,50,48,766,40,
178,17140,"Cincinnati, OH-KY-IN                                        ",6166,4062,310,174,1620,87,
999,17300,"Clarksville, TN-KY                                          ",4093,1501,44,409,2139,228,
174,17420,"Cleveland, TN                                               ",924,775,16,119,14,2,
184,17460,"Cleveland-Elyria, OH                                        ",3733,2913,16,99,705,52,
518,17660,"Coeur dAlene, ID                                            ",2039,1206,50,18,765,41,
999,17780,"College Station-Bryan, TX                                   ",1775,1545,24,40,166,15,
999,17820,"Colorado Springs, CO                                        ",8844,3646,236,20,4942,128,
190,17860,"Columbia, MO                                                ",779,628,12,4,135,8,
192,17900,"Columbia, SC                                                ",5804,4101,18,175,1510,58,
194,17980,"Columbus, GA-AL                                             ",1648,636,34,0,978,34,
294,18020,"Columbus, IN                                                ",209,209,0,0,0,0,
198,18140,"Columbus, OH                                                ",12075,5603,98,82,6292,313,
204,18580,"Corpus Christi, TX                                          ",1900,1895,0,0,5,1,
440,18700,"Corvallis, OR                                               ",286,174,2,0,110,6,
999,18880,"Crestview-Fort Walton Beach-Destin, FL                      ",4122,2784,80,36,1222,59,
999,19060,"Cumberland, MD-WV                                           ",66,63,0,3,0,0,
206,19100,"Dallas-Fort Worth-Arlington, TX                             ",77927,43685,686,1314,32242,683,
174,19140,"Dalton, GA                                                  ",480,376,40,34,30,6,
999,19180,"Danville, IL                                                ",2,2,0,0,0,0,
380,19300,"Daphne-Fairhope-Foley, AL                                   ",3417,3141,32,4,240,10,
209,19340,"Davenport-Moline-Rock Island, IA-IL                         ",597,416,26,99,56,8,
212,19430,"Dayton-Kettering, OH                                        ",2265,1262,22,47,934,40,
290,19460,"Decatur, AL                                                 ",279,275,0,4,0,0,
999,19500,"Decatur, IL                                                 ",21,21,0,0,0,0,
422,19660,"Deltona-Daytona Beach-Ormond Beach, FL                      ",8746,6437,194,0,2115,65,
216,19740,"Denver-Aurora-Lakewood, CO                                  ",23009,10099,372,196,12342,240,
218,19780,"Des Moines-West Des Moines, IA                              ",6122,3646,106,61,2309,52,
220,19820,"Detroit-Warren-Dearborn, MI                                 ",7945,4698,66,305,2876,120,
222,20020,"Dothan, AL                                                  ",498,484,10,4,0,0,
428,20100,"Dover, DE                                                   ",1056,1008,24,0,24,1,
999,20220,"Dubuque, IA                                                 ",163,155,2,6,0,0,
999,20260,"Duluth, MN-WI                                               ",756,555,14,0,187,3,
450,20500,"Durham-Chapel Hill, NC                                      ",6392,3170,70,9,3143,56,
408,20700,"East Stroudsburg, PA                                        ",249,249,0,0,0,0,
232,20740,"Eau Claire, WI                                              ",1030,391,188,48,403,51,
999,20940,"El Centro, CA                                               ",551,379,4,0,168,12,
238,21340,"El Paso, TX                                                 ",2465,2146,62,30,227,26,
350,21060,"Elizabethtown-Fort Knox, KY                                 ",1171,506,66,15,584,27,
515,21140,"Elkhart-Goshen, IN                                          ",387,327,0,0,60,5,
236,21300,"Elmira, NY                                                  ",81,30,0,0,51,7,
999,21420,"Enid, OK                                                    ",46,46,0,0,0,0,
240,21500,"Erie, PA                                                    ",238,166,18,0,54,9,
999,21660,"Eugene-Springfield, OR                                      ",1759,865,24,8,862,29,
999,21780,"Evansville, IN-KY                                           ",1186,807,132,0,247,15,
999,21820,"Fairbanks, AK                                               ",27,27,0,0,0,0,
244,22020,"Fargo, ND-MN                                                ",2315,1124,4,0,1187,23,
999,22140,"Farmington, NM                                              ",143,138,0,0,5,1,
246,22180,"Fayetteville, NC                                            ",2483,2145,0,0,338,16,
999,22220,"Fayetteville-Springdale-Rogers, AR-MO                       ",7246,5435,174,174,1463,88,
999,22380,"Flagstaff, AZ                                               ",738,407,4,0,327,16,
220,22420,"Flint, MI                                                   ",406,324,8,48,26,2,
999,22500,"Florence, SC                                                ",759,697,44,3,15,2,
999,22520,"Florence-Muscle Shoals, AL                                  ",274,204,44,0,26,4,
999,22540,"Fond du Lac, WI                                             ",142,142,0,0,0,0,
999,22660,"Fort Collins, CO                                            ",2572,1385,40,41,1106,55,
999,22900,"Fort Smith, AR-OK                                           ",732,408,144,58,122,5,
258,23060,"Fort Wayne, IN                                              ",2335,1453,40,0,842,31,
260,23420,"Fresno, CA                                                  ",3662,2944,16,52,650,64,
999,23460,"Gadsden, AL                                                 ",157,157,0,0,0,0,
264,23540,"Gainesville, FL                                             ",3137,1345,12,0,1780,41,
122,23580,"Gainesville, GA                                             ",2067,1196,2,44,825,28,
276,23900,"Gettysburg, PA                                              ",394,394,0,0,0,0,
104,24020,"Glens Falls, NY                                             ",292,232,16,22,22,4,
999,24140,"Goldsboro, NC                                               ",418,344,2,0,72,3,
999,24220,"Grand Forks, ND-MN                                          ",165,165,0,0,0,0,
999,24260,"Grand Island, NE                                            ",234,179,32,23,0,0,
999,24300,"Grand Junction, CO                                          ",969,668,8,0,293,11,
266,24340,"Grand Rapids-Kentwood, MI                                   ",4198,2488,176,93,1441,83,
366,24420,"Grants Pass, OR                                             ",338,246,36,0,56,5,
999,24500,"Great Falls, MT                                             ",543,198,8,0,337,7,
216,24540,"Greeley, CO                                                 ",6166,3229,208,105,2624,120,
267,24580,"Green Bay, WI                                               ",1249,627,204,0,418,25,
268,24660,"Greensboro-High Point, NC                                   ",2993,2161,18,0,814,37,
272,24780,"Greenville, NC                                              ",928,688,48,0,192,8,
273,24860,"Greenville-Anderson, SC                                     ",8244,6477,126,226,1415,108,
999,25060,"Gulfport-Biloxi, MS                                         ",2903,2695,12,8,188,17,
548,25180,"Hagerstown-Martinsburg, MD-WV                               ",2148,1854,26,0,268,12,
406,25220,"Hammond, LA                                                 ",1458,869,8,0,581,20,
260,25260,"Hanford-Corcoran, CA                                        ",436,414,4,18,0,0,
276,25420,"Harrisburg-Carlisle, PA                                     ",2711,1820,2,17,872,27,
277,25500,"Harrisonburg, VA                                            ",710,649,14,8,39,7,
278,25540,"Hartford-East Hartford-Middletown, CT                       ",1945,634,116,12,1183,47,
279,25620,"Hattiesburg, MS                                             ",154,135,0,19,0,0,
999,25860,"Hickory-Lenoir-Morganton, NC                                ",2637,1799,28,0,810,68,
999,25940,"Hilton Head Island-Bluffton, SC                             ",2951,2639,8,50,254,13,
496,25980,"Hinesville, GA                                              ",844,768,4,0,72,1,
999,26140,"Homosassa Springs, FL                                       ",1628,1620,8,0,0,0,
284,26300,"Hot Springs, AR                                             ",99,67,32,0,0,0,
999,26380,"Houma-Thibodaux, LA                                         ",872,762,52,6,52,10,
288,26420,"Houston-The Woodlands-Sugar Land, TX                        ",75633,47606,880,23,27124,887,
170,26580,"Huntington-Ashland, WV-KY-OH                                ",255,241,8,6,0,0,
290,26620,"Huntsville, AL                                              ",4035,3617,2,4,412,25,
292,26820,"Idaho Falls, ID                                             ",1380,1184,4,120,72,5,
294,26900,"Indianapolis-Carmel-Anderson, IN                            ",13533,8620,164,78,4671,127,
168,26980,"Iowa City, IA                                               ",1429,492,92,62,783,15,
296,27060,"Ithaca, NY                                                  ",239,173,8,4,54,2,
999,27100,"Jackson, MI                                                 ",141,141,0,0,0,0,
298,27140,"Jackson, MS                                                 ",1234,1221,6,7,0,0,
297,27180,"Jackson, TN                                                 ",456,454,2,0,0,0,
300,27260,"Jacksonville, FL                                            ",23163,14410,86,59,8608,191,
999,27340,"Jacksonville, NC                                            ",1322,1212,32,6,72,3,
357,27500,"Janesville-Beloit, WI                                       ",396,286,34,0,76,1,
999,27620,"Jefferson City, MO                                          ",179,163,8,8,0,0,
304,27740,"Johnson City, TN                                            ",1024,802,10,15,197,27,
306,27780,"Johnstown, PA                                               ",94,94,0,0,0,0,
308,27860,"Jonesboro, AR                                               ",1149,681,126,213,129,22,
309,27900,"Joplin, MO                                                  ",1197,589,104,10,494,29,
999,27980,"Kahului-Wailuku-Lahaina, HI                                 ",684,284,62,0,338,11,
310,28020,"Kalamazoo-Portage, MI                                       ",457,341,22,54,40,7,
176,28100,"Kankakee, IL                                                ",116,103,2,11,0,0,
312,28140,"Kansas City, MO-KS                                          ",11213,5198,258,367,5390,128,
313,28420,"Kennewick-Richland, WA                                      ",1886,1232,36,133,485,18,
999,28660,"Killeen-Temple, TX                                          ",4016,2677,502,0,837,57,
304,28700,"Kingsport-Bristol, TN-VA                                    ",939,815,24,40,60,6,
408,28740,"Kingston, NY                                                ",446,280,6,0,160,16,
315,28940,"Knoxville, TN                                               ",4838,3809,32,10,987,50,
316,29020,"Kokomo, IN                                                  ",164,116,0,0,48,2,
999,29100,"La Crosse-Onalaska, WI-MN                                   ",401,212,48,12,129,3,
318,29180,"Lafayette, LA                                               ",2071,2051,0,0,20,2,
320,29200,"Lafayette-West Lafayette, IN                                ",1538,510,2,3,1023,24,
324,29340,"Lake Charles, LA                                            ",1122,862,28,0,232,12,
999,29420,"Lake Havasu City-Kingman, AZ                                ",2079,1962,82,35,0,0,
422,29460,"Lakeland-Winter Haven, FL                                   ",12211,9158,72,3,2978,103,
999,29540,"Lancaster, PA                                               ",1429,945,42,34,408,34,
999,29620,"Lansing-East Lansing, MI                                    ",973,475,10,24,464,19,
999,29700,"Laredo, TX                                                  ",1272,1170,16,86,0,0,
238,29740,"Las Cruces, NM                                              ",1105,1079,6,20,0,0,
332,29820,"Las Vegas-Henderson-Paradise, NV                            ",13066,9199,104,182,3581,175,
312,29940,"Lawrence, KS                                                ",401,189,6,0,206,12,
999,30020,"Lawton, OK                                                  ",79,79,0,0,0,0,
276,30140,"Lebanon, PA                                                 ",364,225,0,0,139,3,
999,30300,"Lewiston, ID-WA                                             ",134,124,10,0,0,0,
438,30340,"Lewiston-Auburn, ME                                         ",484,238,4,0,242,10,
336,30460,"Lexington-Fayette, KY                                       ",2709,1460,34,60,1155,41,
338,30620,"Lima, OH                                                    ",109,106,0,3,0,0,
339,30700,"Lincoln, NE                                                 ",3349,1132,30,11,2176,64,
340,30780,"Little Rock-North Little Rock-Conway, AR                    ",3338,1863,56,3,1416,35,
999,30860,"Logan, UT-ID                                                ",1108,787,4,4,313,26,
999,30980,"Longview, TX                                                ",745,351,50,52,292,19,
440,31020,"Longview, WA                                                ",585,311,8,68,198,15,
348,31080,"Los Angeles-Long Beach-Anaheim, CA                          ",32873,11199,1626,414,19634,527,
350,31140,"Louisville-Jefferson County, KY-IN                          ",5376,3345,60,20,1951,58,
352,31180,"Lubbock, TX                                                 ",3279,2325,246,28,680,55,
999,31340,"Lynchburg, VA                                               ",805,499,4,16,286,21,
356,31420,"Macon-Bibb County, GA                                       ",622,622,0,0,0,0,
260,31460,"Madera, CA                                                  ",966,880,6,16,64,4,
357,31540,"Madison, WI                                                 ",5579,1530,158,55,3836,63,
148,31700,"Manchester-Nashua, NH                                       ",844,620,30,20,174,4,
999,31740,"Manhattan, KS                                               ",301,242,6,4,49,2,
359,31860,"Mankato, MN                                                 ",609,177,50,15,367,11,
360,31900,"Mansfield, OH                                               ",247,115,12,57,63,5,
365,32580,"McAllen-Edinburg-Mission, TX                                ",5951,3874,384,1170,523,41,
366,32780,"Medford, OR                                                 ",1080,761,24,34,261,14,
368,32820,"Memphis, TN-MS-AR                                           ",4301,3485,2,0,814,13,
488,32900,"Merced, CA                                                  ",730,373,2,3,352,14,
370,33100,"Miami-Fort Lauderdale-Pompano Beach, FL                     ",19721,6971,290,133,12327,294,
176,33140,"Michigan City-La Porte, IN                                  ",322,124,0,3,195,4,
474,33220,"Midland, MI                                                 ",130,108,22,0,0,0,
372,33260,"Midland, TX                                                 ",594,594,0,0,0,0,
376,33340,"Milwaukee-Waukesha, WI                                      ",3172,1563,352,8,1249,48,
378,33460,"Minneapolis-St. Paul-Bloomington, MN-WI                     ",23725,9114,192,194,14225,227,
999,33540,"Missoula, MT                                                ",1078,347,20,15,696,49,
380,33660,"Mobile, AL                                                  ",750,738,0,12,0,0,
488,33700,"Modesto, CA                                                 ",674,636,6,3,29,4,
384,33740,"Monroe, LA                                                  ",489,340,94,24,31,3,
220,33780,"Monroe, MI                                                  ",266,203,0,4,59,10,
388,33860,"Montgomery, AL                                              ",797,793,0,4,0,0,
390,34060,"Morgantown, WV                                              ",11,11,0,0,0,0,
315,34100,"Morristown, TN                                              ",969,868,30,71,0,0,
500,34580,"Mount Vernon-Anacortes, WA                                  ",579,261,16,35,267,13,
294,34620,"Muncie, IN                                                  ",201,201,0,0,0,0,
266,34740,"Muskegon, MI                                                ",548,321,10,0,217,9,
396,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC               ",12000,11519,50,20,411,27,
488,34900,"Napa, CA                                                    ",1100,220,2,6,872,13,
163,34940,"Naples-Marco Island, FL                                     ",5517,3519,28,171,1799,63,
400,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN              ",28314,15383,164,173,12594,1136,
404,35100,"New Bern, NC                                                ",690,552,2,0,136,11,
408,35300,"New Haven-Milford, CT                                       ",1346,484,68,7,787,35,
406,35380,"New Orleans-Metairie, LA                                    ",3443,2934,392,17,100,4,
408,35620,"New York-Newark-Jersey City, NY-NJ-PA                       ",69753,12235,1592,745,55181,1621,
515,35660,"Niles, MI                                                   ",286,259,22,0,5,1,
412,35840,"North Port-Sarasota-Bradenton, FL                           ",15780,10987,372,59,4362,115,
278,35980,"Norwich-New London, CT                                      ",445,379,10,4,52,4,
999,36100,"Ocala, FL                                                   ",6489,5318,4,0,1167,43,
428,36140,"Ocean City, NJ                                              ",838,593,162,36,47,9,
372,36220,"Odessa, TX                                                  ",888,888,0,0,0,0,
482,36260,"Ogden-Clearfield, UT                                        ",5027,2972,8,156,1891,101,
416,36420,"Oklahoma City, OK                                           ",7048,5951,556,104,437,20,
500,36500,"Olympia-Lacey-Tumwater, WA                                  ",1538,584,22,19,913,55,
420,36540,"Omaha-Council Bluffs, NE-IA                                 ",6120,2651,134,213,3122,114,
422,36740,"Orlando-Kissimmee-Sanford, FL                               ",28683,16213,198,158,12114,324,
118,36780,"Oshkosh-Neenah, WI                                          ",459,325,32,0,102,7,
999,36980,"Owensboro, KY                                               ",247,219,16,7,5,1,
348,37100,"Oxnard-Thousand Oaks-Ventura, CA                            ",1368,474,20,27,847,39,
999,37340,"Palm Bay-Melbourne-Titusville, FL                           ",5258,4255,2,36,965,25,
999,37460,"Panama City, FL                                             ",2288,2104,16,9,159,13,
425,37620,"Parkersburg-Vienna, WV                                      ",66,66,0,0,0,0,
426,37860,"Pensacola-Ferry Pass-Brent, FL                              ",3519,3343,14,0,162,4,
999,37900,"Peoria, IL                                                  ",290,168,2,0,120,10,
428,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD                 ",14371,8534,326,620,4891,277,
429,38060,"Phoenix-Mesa-Chandler, AZ                                   ",47804,26797,1538,227,19242,563,
340,38220,"Pine Bluff, AR                                              ",67,43,0,0,24,2,
430,38300,"Pittsburgh, PA                                              ",5867,3101,86,116,2564,53,
999,38340,"Pittsfield, MA                                              ",126,112,10,4,0,0,
999,38540,"Pocatello, ID                                               ",542,284,24,113,121,5,
370,38940,"Port St. Lucie, FL                                          ",7804,5043,334,115,2312,125,
438,38860,"Portland-South Portland, ME                                 ",3762,2120,112,48,1482,54,
440,38900,"Portland-Vancouver-Hillsboro, OR-WA                         ",12978,6029,106,89,6754,207,
408,39100,"Poughkeepsie-Newburgh-Middletown, NY                        ",1798,895,12,39,852,54,
999,39150,"Prescott Valley-Prescott, AZ                                ",2366,1745,140,0,481,8,
148,39300,"Providence-Warwick, RI-MA                                   ",2123,1560,224,82,257,17,
482,39340,"Provo-Orem, UT                                              ",8287,5153,152,158,2824,145,
444,39380,"Pueblo, CO                                                  ",497,497,0,0,0,0,
412,39460,"Punta Gorda, FL                                             ",5676,4637,326,117,596,27,
376,39540,"Racine, WI                                                  ",163,145,18,0,0,0,
450,39580,"Raleigh-Cary, NC                                            ",22390,12488,48,8,9846,191,
452,39660,"Rapid City, SD                                              ",1645,620,8,20,997,30,
428,39740,"Reading, PA                                                 ",386,372,6,0,8,1,
454,39820,"Redding, CA                                                 ",375,375,0,0,0,0,
456,39900,"Reno, NV                                                    ",5812,2184,120,65,3443,195,
999,40060,"Richmond, VA                                                ",10414,4503,132,13,5766,186,
348,40140,"Riverside-San Bernardino-Ontario, CA                        ",16747,12467,228,395,3657,253,
999,40220,"Roanoke, VA                                                 ",771,452,4,0,315,9,
462,40340,"Rochester, MN                                               ",1723,643,6,55,1019,16,
464,40380,"Rochester, NY                                               ",2653,1151,88,142,1272,57,
466,40420,"Rockford, IL                                                ",318,289,20,9,0,0,
468,40580,"Rocky Mount, NC                                             ",427,427,0,0,0,0,
122,40660,"Rome, GA                                                    ",310,310,0,0,0,0,
472,40900,"Sacramento-Roseville-Folsom, CA                             ",10800,8170,188,115,2327,74,
474,40980,"Saginaw, MI                                                 ",175,143,12,0,20,1,
440,41420,"Salem, OR                                                   ",2817,874,34,36,1873,116,
999,41500,"Salinas, CA                                                 ",1086,611,18,63,394,19,
480,41540,"Salisbury, MD-DE                                            ",4919,4235,214,10,460,24,
482,41620,"Salt Lake City, UT                                          ",10102,3992,84,94,5932,127,
999,41660,"San Angelo, TX                                              ",322,322,0,0,0,0,
484,41700,"San Antonio-New Braunfels, TX                               ",24336,10223,192,183,13738,433,
999,41740,"San Diego-Chula Vista-Carlsbad, CA                          ",9346,3517,114,374,5341,247,
488,41860,"San Francisco-Oakland-Berkeley, CA                          ",11180,3376,84,154,7566,168,
488,41940,"San Jose-Sunnyvale-Santa Clara, CA                          ",9428,3928,20,8,5472,116,
999,42020,"San Luis Obispo-Paso Robles, CA                             ",1111,634,22,36,419,27,
488,42100,"Santa Cruz-Watsonville, CA                                  ",608,403,2,3,200,17,
106,42140,"Santa Fe, NM                                                ",590,177,14,0,399,14,
999,42200,"Santa Maria-Santa Barbara, CA                               ",1096,376,8,23,689,25,
488,42220,"Santa Rosa-Petaluma, CA                                     ",2264,954,4,7,1299,57,
496,42340,"Savannah, GA                                                ",3192,2226,136,93,737,56,
999,42540,"Scranton--Wilkes-Barre, PA                                  ",608,524,26,12,46,8,
500,42660,"Seattle-Tacoma-Bellevue, WA                                 ",26661,7029,934,718,17980,339,
370,42680,"Sebastian-Vero Beach, FL                                    ",1183,1141,30,12,0,0,
999,42700,"Sebring-Avon Park, FL                                       ",663,641,22,0,0,0,
999,43100,"Sheboygan, WI                                               ",146,118,28,0,0,0,
206,43300,"Sherman-Denison, TX                                         ",2220,1498,134,0,588,17,
508,43340,"Shreveport-Bossier City, LA                                 ",915,915,0,0,0,0,
999,43420,"Sierra Vista-Douglas, AZ                                    ",529,508,2,11,8,1,
999,43580,"Sioux City, IA-NE-SD                                        ",449,282,4,34,129,9,
999,43620,"Sioux Falls, SD                                             ",5554,1626,24,234,3670,159,
515,43780,"South Bend-Mishawaka, IN-MI                                 ",742,429,4,0,309,5,
273,43900,"Spartanburg, SC                                             ",2596,2596,0,0,0,0,
518,44060,"Spokane-Spokane Valley, WA                                  ",4022,2022,148,56,1796,87,
522,44100,"Springfield, IL                                             ",210,146,22,0,42,5,
999,44140,"Springfield, MA                                             ",740,431,30,4,275,25,
999,44180,"Springfield, MO                                             ",1706,1415,44,18,229,13,
212,44220,"Springfield, OH                                             ",183,112,0,51,20,3,
378,41060,"St. Cloud, MN                                               ",696,431,0,0,265,4,
999,41100,"St. George, UT                                              ",3196,2486,0,40,670,51,
312,41140,"St. Joseph, MO-KS                                           ",95,87,8,0,0,0,
476,41180,"St. Louis, MO-IL                                            ",9130,4742,94,92,4202,137,
524,44300,"State College, PA                                           ",654,288,12,16,338,4,
277,44420,"Staunton, VA                                                ",442,379,6,0,57,2,
488,44700,"Stockton, CA                                                ",3485,3205,24,0,256,14,
999,44940,"Sumter, SC                                                  ",502,402,64,0,36,1,
532,45060,"Syracuse, NY                                                ",532,466,22,0,44,1,
999,45220,"Tallahassee, FL                                             ",3059,1396,18,0,1645,61,
999,45300,"Tampa-St. Petersburg-Clearwater, FL                         ",29968,15678,200,798,13292,744,
999,45460,"Terre Haute, IN                                             ",216,118,20,24,54,9,
999,45500,"Texarkana, TX-AR                                            ",161,130,18,8,5,1,
422,45540,"The Villages, FL                                            ",4439,3919,0,0,520,14,
534,45780,"Toledo, OH                                                  ",1119,653,14,16,436,17,
999,45820,"Topeka, KS                                                  ",429,413,16,0,0,0,
408,45940,"Trenton-Princeton, NJ                                       ",643,165,0,7,471,46,
536,46060,"Tucson, AZ                                                  ",5714,3735,62,12,1905,106,
538,46140,"Tulsa, OK                                                   ",5123,3843,42,24,1214,40,
999,46220,"Tuscaloosa, AL                                              ",1043,714,4,54,271,7,
999,46300,"Twin Falls, ID                                              ",605,483,22,0,100,7,
540,46340,"Tyler, TX                                                   ",830,701,62,32,35,5,
999,46520,"Urban Honolulu, HI                                          ",2526,662,150,0,1714,44,
999,46540,"Utica-Rome, NY                                              ",324,244,0,4,76,12,
999,46660,"Valdosta, GA                                                ",1302,1280,22,0,0,0,
488,46700,"Vallejo, CA                                                 ",1154,948,0,0,206,7,
544,47020,"Victoria, TX                                                ",204,204,0,0,0,0,
428,47220,"Vineland-Bridgeton, NJ                                      ",120,115,0,0,5,1,
545,47260,"Virginia Beach-Norfolk-Newport News, VA-NC                  ",6313,3680,34,15,2584,103,
999,47300,"Visalia, CA                                                 ",2385,1420,46,0,919,87,
999,47380,"Waco, TX                                                    ",1393,954,60,0,379,25,
313,47460,"Walla Walla, WA                                             ",170,114,56,0,0,0,
356,47580,"Warner Robins, GA                                           ",2495,1445,0,0,1050,36,
548,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV                ",35906,12013,74,20,23799,737,
999,47940,"Waterloo-Cedar Falls, IA                                    ",264,187,30,4,43,5,
999,48060,"Watertown-Fort Drum, NY                                     ",179,176,0,3,0,0,
554,48140,"Wausau-Weston, WI                                           ",487,351,12,0,124,5,
430,48260,"Weirton-Steubenville, WV-OH                                 ",33,33,0,0,0,0,
999,48300,"Wenatchee, WA                                               ",861,570,10,36,245,7,
999,48540,"Wheeling, WV-OH                                             ",18,14,4,0,0,0,
999,48660,"Wichita Falls, TX                                           ",378,162,0,0,216,9,
556,48620,"Wichita, KS                                                 ",2850,1586,806,62,396,15,
558,48700,"Williamsport, PA                                            ",113,70,0,0,43,1,
999,48900,"Wilmington, NC                                              ",4421,2489,142,14,1776,55,
548,49020,"Winchester, VA-WV                                           ",1041,741,0,0,300,17,
268,49180,"Winston-Salem, NC                                           ",5480,3983,4,3,1490,53,
148,49340,"Worcester, MA-CT                                            ",2252,1172,94,10,976,24,
999,49420,"Yakima, WA                                                  ",706,426,40,81,159,8,
